variant,rmw,config,nodes,rate_hz,size_bytes,duration_s,launch_elapsed_s,discovery_time_s,nodes_received,delivery_ratio_nodes,delivery_ratio_msgs,ram_node_pss_mb,ram_node_rss_mb,ram_daemon_pss_mb,ram_total_pss_mb,ram_pss_per_node_mb,cpu_total_pct,cpu_daemon_pct,cpu_per_node_pct,lat_p50_us,lat_p99_us,lat_mean_us,lat_max_us,lat_samples,mem_total_mb
cyclonedds_default,rmw_cyclonedds_cpp,default,1,20.0,256,30.0,0.0,0.07,1,1.0,1.0,14.4,15.7,0.0,14.4,14.4,0.3,0.0,0.3,67.2,68.9,67.1,79.9,500,46779.2
cyclonedds_default,rmw_cyclonedds_cpp,default,10,20.0,256,30.0,0.0,0.08,10,1.0,1.0,51.5,167.2,0.0,51.5,5.15,9.7,0.0,0.97,241.2,308.6,246.2,339.9,4996,46779.2
cyclonedds_default,rmw_cyclonedds_cpp,default,50,20.0,256,30.0,0.06,0.25,28,0.56,0.875,202.1,600.2,0.0,202.1,4.04,28.0,0.0,0.56,215.0,324.3,214.1,445.8,13986,46779.2
cyclonedds_default,rmw_cyclonedds_cpp,default,100,20.0,256,30.0,0.18,0.26,28,0.28,0.874,202.2,600.7,0.0,202.2,2.02,25.3,0.0,0.25,214.3,318.0,210.4,348.4,13985,46779.2
cyclonedds_default,rmw_cyclonedds_cpp,default,200,20.0,256,30.0,0.31,0.23,30,0.15,0.937,202.6,600.3,0.0,202.6,1.01,29.0,0.0,0.14,209.0,317.3,204.0,411.1,14986,46779.2
cyclonedds_tuned,rmw_cyclonedds_cpp,tuned,1,20.0,256,30.0,0.0,0.07,1,1.0,1.0,14.3,15.6,0.0,14.3,14.3,0.7,0.0,0.7,69.5,94.2,74.6,96.9,500,46779.2
cyclonedds_tuned,rmw_cyclonedds_cpp,tuned,10,20.0,256,30.0,0.0,0.08,10,1.0,1.0,51.1,166.3,0.0,51.1,5.11,9.3,0.0,0.93,235.0,346.5,242.8,394.2,4996,46779.2
cyclonedds_tuned,rmw_cyclonedds_cpp,tuned,50,20.0,256,30.0,0.05,0.32,50,1.0,0.998,373.8,1005.0,0.0,373.8,7.48,51.0,0.0,1.02,239.2,342.8,243.3,1940.8,24972,46779.2
cyclonedds_tuned,rmw_cyclonedds_cpp,tuned,100,20.0,256,30.0,0.22,1.09,100,1.0,0.987,1106.1,2381.0,0.0,1106.1,11.06,98.3,0.0,0.98,218.8,347.7,220.5,6535.4,49935,46779.2
cyclonedds_tuned,rmw_cyclonedds_cpp,tuned,200,20.0,256,30.0,0.94,26.75,197,0.985,0.797,4707.6,7450.1,0.0,4707.6,23.54,3326.0,0.0,16.63,3612.8,452582.5,35136.6,1829731.5,90230,46779.2
fastdds_default,rmw_fastrtps_cpp,default,1,20.0,256,30.0,0.0,0.08,1,1.0,1.0,25.7,27.0,0.0,25.7,25.7,0.7,0.0,0.7,114.2,179.4,116.4,181.9,500,46779.2
fastdds_default,rmw_fastrtps_cpp,default,10,20.0,256,30.0,0.0,0.16,10,1.0,1.0,108.4,296.5,0.0,108.4,10.84,14.3,0.0,1.43,299.5,408.9,301.8,432.4,4995,46779.2
fastdds_default,rmw_fastrtps_cpp,default,50,20.0,256,30.0,0.05,1.69,50,1.0,0.978,741.4,2060.2,0.0,741.4,14.83,78.7,0.0,1.57,287.6,388.0,286.8,1159.6,24956,46779.2
fastdds_default,rmw_fastrtps_cpp,default,100,20.0,256,30.0,0.12,3.57,100,1.0,0.964,2140.3,5536.3,0.0,2140.3,21.4,192.0,0.0,1.92,294.2,448.1,305.4,8661.4,49443,46779.2
fastdds_default,rmw_fastrtps_cpp,default,200,20.0,256,30.0,0.51,99.61,62,0.31,0.127,3675.3,10285.6,0.0,3675.3,18.38,3172.7,0.0,15.86,82690.3,1143955.1,188786.2,2287368.7,8673,46779.2
fastdds_tuned,rmw_fastrtps_cpp,tuned,1,20.0,256,30.0,0.0,0.09,1,1.0,1.0,25.3,26.7,0.0,25.3,25.3,1.0,0.0,1.0,113.1,115.1,113.0,115.3,500,46779.2
fastdds_tuned,rmw_fastrtps_cpp,tuned,10,20.0,256,30.0,0.0,0.23,10,1.0,1.0,108.8,299.1,0.0,108.8,10.88,15.0,0.0,1.5,297.0,362.9,297.4,409.9,4995,46779.2
fastdds_tuned,rmw_fastrtps_cpp,tuned,50,20.0,256,30.0,0.05,1.64,50,1.0,0.979,740.2,2101.8,0.0,740.2,14.8,78.7,0.0,1.57,296.3,384.0,295.3,982.4,24948,46779.2
fastdds_tuned,rmw_fastrtps_cpp,tuned,100,20.0,256,30.0,0.16,3.65,100,1.0,0.967,2135.3,5692.8,0.0,2135.3,21.35,195.3,0.0,1.95,288.8,434.3,299.0,4593.3,49348,46779.2
fastdds_tuned,rmw_fastrtps_cpp,tuned,200,20.0,256,30.0,0.41,70.23,77,0.385,0.164,3586.4,10371.7,0.0,3586.4,17.93,3149.7,0.0,15.75,502.5,1055063.3,89998.3,4364581.5,13277,46779.2
unix_socket,rmw_unix_socket_cpp,default,1,20.0,256,30.0,0.0,0.1,1,1.0,1.0,13.3,14.6,0.0,13.3,13.3,1.3,0.0,1.3,127.6,164.7,133.9,170.8,500,46779.2
unix_socket,rmw_unix_socket_cpp,default,10,20.0,256,30.0,0.0,0.07,10,1.0,1.0,31.9,146.3,0.0,31.9,3.19,16.0,0.0,1.6,187.6,253.7,176.6,277.3,4997,46779.2
unix_socket,rmw_unix_socket_cpp,default,50,20.0,256,30.0,0.04,0.13,50,1.0,1.0,108.2,732.0,0.0,108.2,2.16,81.3,0.0,1.63,167.6,230.5,161.2,291.6,24976,46779.2
unix_socket,rmw_unix_socket_cpp,default,100,20.0,256,30.0,0.1,0.23,100,1.0,1.0,205.2,1461.7,0.0,205.2,2.05,157.0,0.0,1.57,134.9,234.0,149.1,397.1,49949,46779.2
unix_socket,rmw_unix_socket_cpp,default,200,20.0,256,30.0,0.22,0.57,200,1.0,0.997,405.6,2932.8,0.0,405.6,2.03,322.0,0.0,1.61,122.7,230.4,130.7,488.7,99751,46779.2
zenoh_default,rmw_zenoh_cpp,default,1,20.0,256,30.0,0.0,0.08,1,1.0,1.0,13.9,21.9,28.7,42.6,13.9,1.0,0.0,1.0,91.6,93.4,91.5,108.5,500,46779.2
zenoh_default,rmw_zenoh_cpp,default,10,20.0,256,30.0,0.01,0.09,10,1.0,1.0,67.5,241.1,23.9,91.4,6.75,13.0,0.0,1.3,514.2,559.9,490.9,580.8,4995,46779.2
zenoh_default,rmw_zenoh_cpp,default,50,20.0,256,30.0,0.05,10.61,48,0.96,0.948,655.4,1599.2,27.8,683.2,13.11,88.0,0.0,1.76,423.6,575.1,417.1,1754.1,23304,46779.2
zenoh_default,rmw_zenoh_cpp,default,100,20.0,256,30.0,0.25,10.63,98,0.98,0.974,2257.6,4163.3,34.4,2292.0,22.58,152.0,0.0,1.52,355.1,555.4,367.1,13951.1,48373,46779.2
zenoh_default,rmw_zenoh_cpp,default,200,20.0,256,30.0,1.06,6.31,200,1.0,0.954,8561.1,12398.9,50.3,8611.4,42.81,241.3,0.0,1.21,296.7,7902.9,577.9,205707.1,97747,46779.2
zenoh_tuned,rmw_zenoh_cpp,tuned,1,20.0,256,30.0,0.0,0.08,1,1.0,1.0,13.9,22.1,28.7,42.6,13.9,0.7,0.0,0.7,92.4,108.0,92.2,110.4,500,46779.2
zenoh_tuned,rmw_zenoh_cpp,tuned,10,20.0,256,30.0,0.01,0.09,10,1.0,1.0,67.8,243.4,23.8,91.6,6.78,14.3,0.0,1.43,492.9,610.8,484.8,3185.1,4997,46779.2
zenoh_tuned,rmw_zenoh_cpp,tuned,50,20.0,256,30.0,0.05,0.33,50,1.0,0.998,664.9,1610.0,27.8,692.7,13.3,66.3,0.0,1.33,420.4,564.5,416.2,1577.8,24952,46779.2
zenoh_tuned,rmw_zenoh_cpp,tuned,100,20.0,256,30.0,0.17,1.39,100,1.0,0.988,2328.0,4242.2,35.0,2363.0,23.28,126.0,0.0,1.26,360.2,558.3,370.1,11791.6,49619,46779.2
