variant,rmw,config,nodes,rate_hz,size_bytes,duration_s,launch_elapsed_s,discovery_time_s,nodes_received,delivery_ratio_nodes,delivery_ratio_msgs,ram_node_pss_mb,ram_node_rss_mb,ram_daemon_pss_mb,ram_total_pss_mb,ram_pss_per_node_mb,cpu_total_pct,cpu_daemon_pct,cpu_per_node_pct,lat_p50_us,lat_p99_us,lat_mean_us,lat_max_us,lat_samples
cyclonedds_shm,rmw_cyclonedds_cpp,shm,1,20.0,65536,30.0,0.0,0.08,1,1.0,1.0,14.3,17.4,647.9,662.2,14.3,1.0,0.0,1.0,216.3,248.0,219.7,256.8,500
cyclonedds_shm,rmw_cyclonedds_cpp,shm,10,20.0,65536,30.0,0.01,0.09,10,1.0,1.0,61.4,191.7,644.4,705.8,6.14,9.3,0.0,0.93,248.9,367.9,262.3,395.6,4998
cyclonedds_shm,rmw_cyclonedds_cpp,shm,50,20.0,65536,30.0,0.07,0.33,50,1.0,0.999,431.2,1207.2,636.5,1067.7,8.62,54.7,2.0,1.05,251.9,351.4,257.6,597.7,24974
cyclonedds_shm,rmw_cyclonedds_cpp,shm,100,20.0,65536,30.0,0.2,0.78,11,0.11,0.782,167.5,363.0,641.6,809.1,1.68,108.7,0.0,1.09,290.7,325.7,276.6,351.2,5483
cyclonedds_shm,rmw_cyclonedds_cpp,shm,200,20.0,65536,30.0,0.66,1.9,16,0.08,0.758,249.5,553.6,640.1,889.6,1.25,333.0,0.0,1.67,285.9,348.7,261.9,393.8,7986
cyclonedds_tuned,rmw_cyclonedds_cpp,tuned,1,20.0,65536,30.0,0.0,0.07,1,1.0,1.0,14.2,15.6,0.0,14.2,14.2,0.7,0.0,0.7,88.7,91.2,88.4,92.8,500
cyclonedds_tuned,rmw_cyclonedds_cpp,tuned,10,20.0,65536,30.0,0.0,0.08,10,1.0,1.0,76.3,188.7,0.0,76.3,7.63,12.0,0.0,1.2,342.2,534.0,360.0,553.4,4997
cyclonedds_tuned,rmw_cyclonedds_cpp,tuned,50,20.0,65536,30.0,0.07,0.31,50,1.0,0.999,479.1,1094.9,0.0,479.1,9.58,62.0,0.0,1.24,344.7,531.1,349.2,2015.7,24973
cyclonedds_tuned,rmw_cyclonedds_cpp,tuned,100,20.0,65536,30.0,0.24,1.64,100,1.0,0.986,1363.7,2608.6,0.0,1363.7,13.64,132.7,0.0,1.33,331.3,469.4,335.6,7752.7,49927
cyclonedds_tuned,rmw_cyclonedds_cpp,tuned,200,20.0,65536,30.0,0.97,20.86,196,0.98,0.817,6791.2,9488.1,0.0,6791.2,33.96,3345.7,0.0,16.73,4490.1,456460.4,48142.6,4422316.1,92336
fastdds_default,rmw_fastrtps_cpp,default,1,20.0,65536,30.0,0.0,0.09,1,1.0,1.0,29.6,31.0,0.0,29.6,29.6,1.3,0.0,1.3,159.2,169.7,159.4,182.8,500
fastdds_default,rmw_fastrtps_cpp,default,10,20.0,65536,30.0,0.0,0.16,10,1.0,1.0,159.9,345.4,0.0,159.9,15.99,19.0,0.0,1.9,400.3,595.7,393.1,642.8,4999
fastdds_default,rmw_fastrtps_cpp,default,50,20.0,65536,30.0,0.06,1.42,50,1.0,0.982,1003.5,2353.0,0.0,1003.5,20.07,113.7,0.0,2.27,392.6,565.0,395.5,2065.5,24960
fastdds_default,rmw_fastrtps_cpp,default,100,20.0,65536,30.0,0.14,3.72,100,1.0,0.964,2660.7,6367.5,0.0,2660.7,26.61,273.7,0.0,2.74,391.4,573.5,408.4,8450.9,49206
fastdds_default,rmw_fastrtps_cpp,default,200,20.0,65536,30.0,0.47,74.83,63,0.315,0.144,3748.7,10383.8,0.0,3748.7,18.74,3055.7,0.0,15.28,88879.6,1125793.8,184398.9,16430662.8,10134
fastdds_shm,rmw_fastrtps_cpp,shm,1,20.0,65536,30.0,0.0,0.09,1,1.0,1.0,30.1,31.4,0.0,30.1,30.1,1.0,0.0,1.0,138.1,166.4,138.5,170.1,500
fastdds_shm,rmw_fastrtps_cpp,shm,10,20.0,65536,30.0,0.0,0.15,10,1.0,1.0,161.9,354.2,0.0,161.9,16.19,15.0,0.0,1.5,346.1,376.0,306.4,403.9,5000
fastdds_shm,rmw_fastrtps_cpp,shm,50,20.0,65536,30.0,0.05,1.72,50,1.0,0.977,1009.1,2378.6,0.0,1009.1,20.18,83.7,0.0,1.67,319.4,422.8,320.2,1518.4,24955
fastdds_shm,rmw_fastrtps_cpp,shm,100,20.0,65536,30.0,0.15,3.88,100,1.0,0.962,2671.2,6250.1,0.0,2671.2,26.71,205.7,0.0,2.06,329.1,487.8,343.0,9061.5,49193
fastdds_shm,rmw_fastrtps_cpp,shm,200,20.0,65536,30.0,0.38,79.23,47,0.235,0.117,4024.6,10804.2,0.0,4024.6,20.12,3131.3,0.0,15.66,24431.2,1412231.3,179556.4,32808269.1,9258
unix_socket,rmw_unix_socket_cpp,default,1,20.0,65536,30.0,0.0,0.07,1,1.0,1.0,13.2,14.4,0.0,13.2,13.2,1.7,0.0,1.7,230.8,244.7,228.7,252.0,500
unix_socket,rmw_unix_socket_cpp,default,10,20.0,65536,30.0,0.0,0.07,10,1.0,1.0,32.8,144.2,0.0,32.8,3.28,18.3,0.0,1.83,284.9,373.8,277.1,865.0,4997
unix_socket,rmw_unix_socket_cpp,default,50,20.0,65536,30.0,0.04,0.13,50,1.0,1.0,113.6,719.8,0.0,113.6,2.27,93.0,0.0,1.86,281.8,355.5,268.2,451.5,24977
unix_socket,rmw_unix_socket_cpp,default,100,20.0,65536,30.0,0.11,0.24,100,1.0,1.0,214.5,1439.6,0.0,214.5,2.15,188.7,0.0,1.89,245.4,361.5,258.5,785.1,49950
unix_socket,rmw_unix_socket_cpp,default,200,20.0,65536,30.0,0.23,0.58,200,1.0,0.998,418.8,2883.3,0.0,418.8,2.09,385.7,0.0,1.93,242.7,365.6,250.1,860.2,99795
zenoh_default,rmw_zenoh_cpp,default,1,20.0,65536,30.0,0.0,0.08,1,1.0,1.0,13.5,21.4,28.4,41.9,13.5,0.7,0.0,0.7,114.1,117.2,113.7,118.5,500
zenoh_default,rmw_zenoh_cpp,default,10,20.0,65536,30.0,0.01,0.09,10,1.0,1.0,69.2,238.1,23.8,93.0,6.92,16.7,0.0,1.67,561.4,684.6,563.0,748.9,4994
zenoh_default,rmw_zenoh_cpp,default,50,20.0,65536,30.0,0.05,0.34,50,1.0,0.998,701.4,1621.0,27.7,729.1,14.03,85.3,0.0,1.71,521.9,681.0,520.9,1172.3,24950
zenoh_default,rmw_zenoh_cpp,default,100,20.0,65536,30.0,0.17,1.12,100,1.0,0.99,2603.6,4457.2,36.6,2640.2,26.04,172.3,0.0,1.72,466.1,654.8,479.9,28888.0,49689
zenoh_default,rmw_zenoh_cpp,default,200,20.0,65536,30.0,0.77,6.99,200,1.0,0.941,11128.6,14856.1,58.3,11186.9,55.64,335.0,0.0,1.68,425.0,17586.2,2942.9,2379182.9,98507
zenoh_tuned,rmw_zenoh_cpp,tuned,1,20.0,65536,30.0,0.0,0.08,1,1.0,1.0,13.6,21.6,28.6,42.2,13.6,0.7,0.0,0.7,115.5,118.7,115.5,119.0,500
zenoh_tuned,rmw_zenoh_cpp,tuned,10,20.0,65536,30.0,0.01,0.09,10,1.0,1.0,70.1,240.4,23.6,93.7,7.01,16.0,0.0,1.6,567.6,667.4,558.2,705.1,4995
zenoh_tuned,rmw_zenoh_cpp,tuned,50,20.0,65536,30.0,0.05,0.34,50,1.0,0.999,699.4,1624.2,27.7,727.1,13.99,87.3,0.0,1.75,542.1,722.1,542.9,1600.9,24952
zenoh_tuned,rmw_zenoh_cpp,tuned,100,20.0,65536,30.0,0.24,1.15,100,1.0,0.99,2649.5,4519.8,36.5,2686.0,26.5,173.3,0.0,1.73,472.1,668.1,485.1,20652.4,49665
